"","baffle_prop","density","bush_density","df.prop_males","tactic","mean_success","sd","ci"
"131",0.73,0.5,0,0.5,"baffler",0.377032967032967,0.316855860844458,0.0621037487255139
"132",0.73,0.75,0,0.5,"baffler",0.438736263736264,0.38592958086508,0.0756421978495557
"133",0.73,1,0,0.5,"baffler",0.50510989010989,0.441991732431739,0.0866303795566209
"134",0.77,0.01,0,0.5,"baffler",0.07265625,0.029991630645486,0.00587835960651525
"135",0.77,0.05,0,0.5,"baffler",0.16203125,0.094210356692063,0.0184652299116443
"136",0.77,0.1,0,0.5,"baffler",0.208645833333333,0.149574758776684,0.0293166527202301
"137",0.77,0.25,0,0.5,"baffler",0.2771875,0.225619864328728,0.0442214934084308
"138",0.77,0.5,0,0.5,"baffler",0.367916666666667,0.307650823753262,0.0602995614556394
"139",0.77,0.75,0,0.5,"baffler",0.43421875,0.369009222092868,0.0723258075302021
"140",0.77,1,0,0.5,"baffler",0.48890625,0.424251419713303,0.0831532782638073
"141",0.81,0.01,0,0.5,"baffler",0.0675247524752476,0.030521118892077,0.00598213930284709
"142",0.81,0.05,0,0.5,"baffler",0.15470297029703,0.097560079559444,0.019121775593651
"143",0.81,0.1,0,0.5,"baffler",0.198118811881188,0.143840807591879,0.0281927982880083
"144",0.81,0.25,0,0.5,"baffler",0.275990099009901,0.227554622735849,0.0446007060562264
"145",0.81,0.5,0,0.5,"baffler",0.365,0.323156576933445,0.0633386890789552
"146",0.81,0.75,0,0.5,"baffler",0.432623762376238,0.367926515292703,0.0721135969973699
"147",0.81,1,0,0.5,"baffler",0.474455445544554,0.428732214586508,0.0840315140589556
"148",0.85,0.01,0,0.5,"baffler",0.0691981132075472,0.0300733261044782,0.00589437191647772
"149",0.85,0.05,0,0.5,"baffler",0.155943396226415,0.0976704266704688,0.0191434036274119
"150",0.85,0.1,0,0.5,"baffler",0.19372641509434,0.139938319483893,0.027427910618843
"151",0.85,0.25,0,0.5,"baffler",0.272311320754717,0.233531451624185,0.0457721645183402
"152",0.85,0.5,0,0.5,"baffler",0.352075471698113,0.310063183018385,0.0607723838716034
"153",0.85,0.75,0,0.5,"baffler",0.406084905660377,0.364100340401289,0.0713636667186526
"154",0.85,1,0,0.5,"baffler",0.461415094339623,0.409329928667705,0.0802286660188703
"155",0.89,0.01,0,0.5,"baffler",0.0677927927927928,0.0298065324957529,0.00584208036916756
"156",0.89,0.05,0,0.5,"baffler",0.145045045045045,0.0942396784227593,0.0184709769708608
"157",0.89,0.1,0,0.5,"baffler",0.188783783783784,0.140643774603519,0.0275661798222897
"158",0.89,0.25,0,0.5,"baffler",0.268783783783784,0.218783158426592,0.0428814990516121
"159",0.89,0.5,0,0.5,"baffler",0.337522522522523,0.307186441271986,0.0602085424893093
"160",0.89,0.75,0,0.5,"baffler",0.396486486486486,0.360060492670741,0.0705718565634652
"161",0.89,1,0,0.5,"baffler",0.456396396396396,0.414000196554922,0.0811440385247647
"162",0.93,0.01,0,0.5,"baffler",0.0654310344827586,0.0266580457094989,0.00522497695906179
"163",0.93,0.05,0,0.5,"baffler",0.13698275862069,0.0890837883222134,0.0174604225111538
"164",0.93,0.1,0,0.5,"baffler",0.194698275862069,0.145361165610603,0.0284907884596782
"165",0.93,0.25,0,0.5,"baffler",0.258362068965517,0.210477311659146,0.0412535530851926
"166",0.93,0.5,0,0.5,"baffler",0.328362068965517,0.307945987979238,0.0603574136439307
"167",0.93,0.75,0,0.5,"baffler",0.388405172413793,0.353649927927603,0.0693153858738103
"168",0.93,1,0,0.5,"baffler",0.449784482758621,0.402442211637233,0.0788786734808976
"169",0.97,0.01,0,0.5,"baffler",0.0638842975206612,0.0278435210882932,0.00545733013330546
"170",0.97,0.05,0,0.5,"baffler",0.137148760330578,0.0936817630784238,0.0183616255633711
"171",0.97,0.1,0,0.5,"baffler",0.183884297520661,0.135423146880391,0.0265429367885567
"172",0.97,0.25,0,0.5,"baffler",0.249214876033058,0.212256710425447,0.0416023152433875
"173",0.97,0.5,0,0.5,"baffler",0.318057851239669,0.288974887954258,0.0566390780390345
"174",0.97,0.75,0,0.5,"baffler",0.382107438016529,0.357210706507754,0.0700132984755198
"175",0.97,1,0,0.5,"baffler",0.443429752066116,0.39865015712401,0.0781354307963059
"176",0.01,0.01,0,0.5,"caller",0.0523472798741518,0.0218949330748134,0.00429140688266343
"177",0.01,0.05,0,0.5,"caller",0.166748182447451,0.0566676204219878,0.0111068536027096
"178",0.01,0.1,0,0.5,"caller",0.226266568748106,0.0993408052859028,0.0194707978360369
"179",0.01,0.25,0,0.5,"caller",0.351575496484337,0.217413093397335,0.0426129663058777
"180",0.01,0.5,0,0.5,"caller",0.448996827288813,0.295999555479217,0.0580159128739266
"181",0.01,0.75,0,0.5,"caller",0.527537178676916,0.414957518856318,0.0813316736958384
"182",0.01,1,0,0.5,"caller",0.585268411634724,0.455104367027489,0.0892004559373878
"183",0.05,0.01,0,0.5,"caller",0.0482506601340534,0.0206999813120934,0.0040571963371703
"184",0.05,0.05,0,0.5,"caller",0.149587969911998,0.0586627783663777,0.01149790455981
"185",0.05,0.1,0,0.5,"caller",0.201471909853071,0.101223194562033,0.0198397461341584
"186",0.05,0.25,0,0.5,"caller",0.298766991428962,0.18333882809013,0.0359344103056655
"187",0.05,0.5,0,0.5,"caller",0.374131296271599,0.277297681432979,0.0543503455608639
