"baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
0.29,0.25,0,0.5,"baffler",0.443424657534247,0.320515036291502,0.0628209471131343
0.29,0.25,0,0.5,"caller",0.168809883828139,0.13662634317219,0.0267787632617493
0.29,0.25,0,0.5,"silent",0.0307554687075938,0.0204223836909505,0.00400278720342629
0.29,0.5,0,0.5,"baffler",0.577397260273973,0.414762048023381,0.0812933614125827
0.29,0.5,0,0.5,"caller",0.227490910448892,0.181687149351271,0.0356106812728492
0.29,0.5,0,0.5,"silent",0.064245568576785,0.0322789551673866,0.00632667521280778
0.29,0.75,0,0.5,"baffler",0.707945205479452,0.520492885598298,0.102016605577266
0.29,0.75,0,0.5,"caller",0.301780958282562,0.246318520422364,0.0482784300027834
0.29,0.75,0,0.5,"silent",0.0902240393411107,0.0431982243536171,0.00846685197330896
0.29,1,0,0.5,"baffler",0.767123287671233,0.578267158290723,0.113340363024982
0.29,1,0,0.5,"caller",0.345111267040898,0.262387486035003,0.0514279472628606
0.29,1,0,0.5,"silent",0.122786242471636,0.0536366634653376,0.0105127860392062
0.33,0.01,0,0.5,"baffler",0.0940243902439025,0.0370665166290191,0.00726503725928774
0.33,0.01,0,0.5,"caller",0.0375620989571915,0.0211826965389089,0.00415180852162614
0.33,0.01,0,0.5,"silent",0.00142440231906716,0.00387683861703701,0.000759860368939255
0.33,0.05,0,0.5,"baffler",0.235365853658537,0.1056697346165,0.0207112679848339
0.33,0.05,0,0.5,"caller",0.0881201810727229,0.0540158310246073,0.010587102880823
0.33,0.05,0,0.5,"silent",0.00796778711484594,0.00986424292669401,0.00193339161363202
0.33,0.1,0,0.5,"baffler",0.29109756097561,0.169987953437325,0.0333176388737158
0.33,0.1,0,0.5,"caller",0.110767185401821,0.0844265659992571,0.0165476069358544
0.33,0.1,0,0.5,"silent",0.014260633363209,0.0140336077701,0.0027505871229396
0.33,0.25,0,0.5,"baffler",0.454512195121951,0.307831738004839,0.0603350206489485
0.33,0.25,0,0.5,"caller",0.160470304239283,0.134773968993056,0.026415697922639
