"baffle_prop","density","bush_density","prop_males","mean_phonotaxis_steps","mean_random_steps","mean_total_steps","sd_phonotaxis_steps","sd_random_steps","sd_total_steps","ci_phonotaxis_steps","ci_random_steps","ci_total_steps"
0.21,0.25,"0.5",0.5,37.0048,21.40212,58.40692,13.8828975172601,13.7105960345208,0.34621548961958,2.72104791338299,2.68727682276608,0.0678582359654377
0.21,0.5,"0.5",0.5,42.6166,15.00948,57.62608,12.607186962646,12.2486011194517,0.511897552881887,2.47100864467861,2.40072581941254,0.10033192036485
0.21,0.75,"0.5",0.5,42.80384,14.12596,56.9298,11.1326409063573,10.5168035316648,0.735705776719872,2.18199761764602,2.06129349220629,0.144198332237095
0.21,1,"0.5",0.5,43.03248,13.19268,56.22516,10.2193641705392,9.43007722033145,0.915960441120123,2.00299537742569,1.84829513518496,0.179528246459544
0.25,0.05,"0.5",0.5,15.72648,43.69616,59.42264,7.07918376348373,7.13626744346416,0.231634836269801,1.38752001764281,1.39870841891897,0.0454004279088809
0.25,0.25,"0.5",0.5,36.97716,21.53972,58.51688,13.8532496429939,13.7202925816787,0.279420225148829,2.71523693002681,2.68917734600903,0.0547663641291705
0.25,0.5,"0.5",0.5,42.9436,14.74824,57.69184,12.4556185366811,12.0537090960468,0.500116162667851,2.44130123318949,2.36252698282517,0.0980227678828988
0.25,0.75,"0.5",0.5,44.07124,13.0154,57.08664,11.0212745116438,10.3598438329168,0.765380258301702,2.16016980428219,2.03052939125169,0.150014530627134
0.25,1,"0.5",0.5,42.78888,13.38496,56.17384,9.71561090712189,8.89825928944657,0.920997161842105,1.90425973779589,1.74405882073153,0.180515443721052
0.29,0.05,"0.5",0.5,16.0506,43.3828,59.4334,7.24096267666451,7.29040780059592,0.215655823810614,1.41922868462624,1.4289199289168,0.0422685414668803
0.29,0.25,"0.5",0.5,38.0606,20.4102,58.4708,14.1516917288315,13.9958222496731,0.299061697630939,2.77373157885098,2.74318116093593,0.058616092735664
0.29,0.5,"0.5",0.5,42.60528,15.13012,57.7354,12.5210209656329,12.024486847473,0.578475705120052,2.45412010926405,2.3567994221047,0.11338123820353
0.29,0.75,"0.5",0.5,44.3946,12.68504,57.07964,10.9826902097084,10.241201359768,0.829501901410988,2.15260728110284,2.00727546651452,0.162582372676554
0.29,1,"0.5",0.5,43.78244,12.64636,56.4288,9.7240391972418,8.93328059857795,0.886660195920795,1.90591168265939,1.75092299732128,0.173785398400476
0.33,0.05,"0.5",0.5,16.74468,42.69008,59.43476,7.70597499370692,7.76823365084634,0.219566290581218,1.51037109876656,1.52257379556588,0.0430349929539188
0.33,0.25,"0.5",0.5,38.76456,19.76984,58.5344,13.8572693218025,13.7004066169253,0.294858295018834,2.7160247870733,2.68527969691736,0.0577922258236915
0.33,0.5,"0.5",0.5,43.8624,13.93492,57.79732,12.4661934766784,11.9633510639956,0.573425519015841,2.44337392142897,2.34481680854313,0.112391401727105
0.33,0.75,"0.5",0.5,44.12188,12.99884,57.12072,11.170060885576,10.499444391957,0.757788036779989,2.18933193357289,2.05789110082358,0.148526455208878
0.33,1,"0.5",0.5,44.2298,12.32124,56.55104,9.76370766428079,8.97583283113747,0.919749130486299,1.91368670219903,1.75926323490294,0.180270829575315
0.37,0.05,"0.5",0.5,17.12092,42.33116,59.45208,7.76664064201648,7.82430602559883,0.200059772886187,1.52226156583523,1.53356398101737,0.0392117154856927
0.37,0.25,"0.5",0.5,38.59428,19.98508,58.57936,14.1994554598108,14.043160573839,0.307190445979379,2.78309327012292,2.75245947247244,0.0602093274119584
0.37,0.5,"0.5",0.5,43.92572,13.92884,57.85456,12.3635608123717,11.8890521890494,0.580502469913572,2.42325791922484,2.33025422905367,0.11377848410306
0.37,0.75,"0.5",0.5,44.99584,12.24688,57.24272,11.036855677541,10.3152425661046,0.825014552427514,2.16322371279803,2.0217875429565,0.161702852275793
0.37,1,"0.5",0.5,43.7862,12.63728,56.42348,9.78236150663349,9.04393038505367,0.853464507910333,1.91734285530016,1.77261035547052,0.167279043550425
0.41,0.05,"0.5",0.5,17.32876,42.15992,59.48868,8.02107707712448,8.05580283188849,0.212516660309471,1.5721311071164,1.57893735505014,0.0416532654206562
0.41,0.25,"0.5",0.5,39.77676,18.86192,58.63868,14.2563822539984,14.0649506404675,0.302697397985967,2.79425092178369,2.75673032553164,0.0593286900052495
0.41,0.5,"0.5",0.5,45.00632,12.86956,57.87588,12.2044619517998,11.744671407541,0.561822274641037,2.39207454255276,2.30195559587804,0.110117165829643
0.41,0.75,"0.5",0.5,45.09244,12.15824,57.25068,10.7799400218717,10.1256786131183,0.751832789275849,2.11286824428686,1.98463300817119,0.147359226698066
0.41,1,"0.5",0.5,44.83016,11.80992,56.64008,9.28848588711591,8.49470296706046,0.904860586170069,1.82054323387472,1.66496178154385,0.177352674889333
0.45,0.05,"0.5",0.5,17.97932,41.54672,59.52604,8.16182594058734,8.20549917363257,0.213812715177833,1.59971788435512,1.60827783803198,0.0419072921748553
0.45,0.25,"0.5",0.5,40.04048,18.57484,58.61532,13.9208340314404,13.7109523814527,0.345549273774465,2.72848347016232,2.68734666676474,0.0677276576597952
0.45,0.5,"0.5",0.5,44.77324,13.16192,57.93516,12.5200015321908,12.0327244231737,0.577895952328074,2.4539203003094,2.35841398694204,0.113267606656303
0.45,0.75,"0.5",0.5,45.13996,12.15604,57.296,10.9368051175927,10.2538961030095,0.780214319170306,2.14361380304817,2.00976363618986,0.15292200655738
0.45,1,"0.5",0.5,44.93748,11.78356,56.72104,9.67824468023541,8.77283802405833,0.984909429461626,1.89693595732614,1.71947625271543,0.193042248174479
0.49,0.05,"0.5",0.5,18.11512,41.3348,59.44992,8.33450547063232,8.40659974500554,0.216404768520437,1.63356307224393,1.64769355002109,0.0424153346300056
0.49,0.25,"0.5",0.5,40.2536,18.37224,58.62584,14.2106576707183,13.9565019011053,0.355066268391542,2.78528890346078,2.73547437261664,0.0695929886047423
0.49,0.5,"0.5",0.5,44.78068,13.17472,57.9554,12.4625338027808,11.9438079085002,0.603150616899848,2.44265662534504,2.34098635006604,0.11821752091237
0.49,0.75,"0.5",0.5,45.66856,11.71172,57.38028,10.7501941578144,9.96877940521802,0.851027615072602,2.10703805493162,1.95388076342273,0.16680141255423
0.49,1,"0.5",0.5,44.64108,12.01216,56.65324,9.64093234696665,8.84738748715567,0.918543369480266,1.88962274000546,1.73408794748251,0.180034500418132
0.53,0.05,"0.5",0.5,18.89424,40.56496,59.4592,8.51564663893423,8.54218472979716,0.210323464206825,1.66906674123111,1.67426820704024,0.0412233989845377
